#{"t_start": 1766559234.0708675, "env_id": "BipedalWalker-v3"}
r,l,t
-81.480824,322,21222.05298
-93.697422,227,21222.291338
247.070127,1569,21225.409184
233.387679,1600,21228.485266
-0.513912,794,21229.21636
237.136218,1600,21231.928202
-17.820612,660,21232.49631
-2.694051,882,21234.532452
38.861705,1210,21235.604322
243.189698,1586,21238.907049
-53.341473,508,21239.441641
-107.701775,187,21241.152934
-114.784052,94,21241.246043
217.521089,1600,21242.832015
-101.489259,139,21242.975464
-1.615394,803,21245.246678
-71.583275,391,21245.647224
46.768385,1267,21248.303922
231.057317,1600,21249.834806
-61.285794,460,21251.729366
213.750977,1600,21253.29443
231.058046,1600,21256.299467
29.886038,1078,21258.8863
-32.55164,536,21259.361667
-45.136309,460,21259.850431
228.550119,1600,21262.647943
206.864125,1600,21265.087227
208.014065,1600,21268.653552
210.785418,1600,21270.189467
212.299065,1600,21272.806068
222.096205,1600,21275.247157
213.990086,1600,21277.991889
240.884399,1600,21280.579846
236.97824,1600,21281.810367
246.134254,1584,21284.256757
248.813725,1573,21286.734352
216.856635,1600,21289.203914
251.20156,1521,21290.514805
238.315848,1600,21292.953644
245.588158,1600,21295.404808
83.012297,1336,21297.629784
243.81439,1600,21298.850437
254.937739,1518,21301.315416
251.826668,1520,21303.758522
249.331757,1580,21306.238203
249.034781,1580,21307.591585
68.365679,1288,21309.828965
-31.29182,606,21310.279695
-63.225968,510,21311.928717
217.214014,1600,21313.200357
226.503889,1600,21315.724017
-25.747338,533,21316.112767
252.113012,1551,21318.48359
-99.281611,115,21318.579193
256.553926,1527,21321.078409
245.51229,1600,21323.577556
252.601958,1522,21324.789227
252.413895,1556,21327.224293
247.273668,1563,21329.666673
238.192114,1600,21332.261602
241.359181,1600,21334.726097
249.83527,1560,21335.961492
-52.947969,501,21337.582751
-52.10767,498,21337.976954
29.005086,862,21338.670599
-71.099253,393,21338.97457
252.285069,1547,21341.518519
253.015671,1514,21344.057328
254.419791,1519,21346.477116
-20.053762,688,21347.024733
250.734093,1565,21349.481285
240.533544,1600,21352.01649
-3.608429,874,21352.694263
255.518154,1494,21355.031113
214.734347,1600,21356.356649
-20.288978,674,21358.129184
252.521881,1522,21360.57025
60.163172,1079,21361.425169
255.994716,1508,21364.073621
57.223271,1121,21364.983288
252.959169,1525,21367.396653
-0.01479,939,21369.427044
248.776821,1583,21370.757624
253.386701,1531,21373.311375
248.133707,1579,21375.862544
225.148133,1600,21378.378055
248.403803,1600,21379.686088
240.632844,1600,21382.199776
12.896257,832,21384.233168
252.840975,1536,21385.483955
252.837996,1595,21387.90881
252.633276,1576,21390.372284
258.48684,1499,21393.005807
208.91893,1600,21394.361523
251.766981,1570,21397.15638
252.27546,1583,21399.762031
253.983348,1557,21402.228933
252.779794,1579,21403.607244
249.260586,1600,21406.051224
249.41776,1595,21408.480247
-66.441262,273,21408.725334
251.612486,1578,21411.123741
237.817435,1600,21413.711924
255.277451,1520,21414.957658
-79.667456,207,21416.326158
-98.805693,158,21416.446994
121.886808,1439,21417.563153
-66.7939,292,21417.81614
255.572038,1547,21420.211991
223.157737,1600,21423.461767
53.145915,1600,21426.382168
18.410246,906,21427.121079
-7.652891,1600,21429.611873
-69.758643,426,21429.970652
253.85267,1536,21432.443807
-22.57366,719,21433.078499
122.572449,1484,21436.422334
254.023331,1534,21439.052652
245.746336,1600,21441.579603
245.870697,1600,21442.934457
252.243581,1551,21445.758359
256.898277,1504,21448.255574
-50.305929,347,21448.5435
-52.679605,349,21448.876577
40.184398,1119,21451.079595
-80.520784,234,21451.260204
-71.972643,327,21451.560428
254.59426,1556,21454.138527
233.535465,1600,21456.817219
230.96335,1600,21458.135951
255.370326,1549,21460.57884
259.553717,1459,21462.998859
-56.850326,408,21463.310715
256.171845,1487,21466.015487
254.677694,1513,21467.281303
29.887877,790,21469.178224
253.038609,1578,21471.668403
-41.836206,627,21472.211662
254.334708,1507,21474.580241
251.96514,1553,21475.860253
262.42281,1462,21478.386217
-5.856258,676,21478.971606
255.170542,1540,21481.513714
256.052076,1552,21484.130597
254.128428,1589,21486.802499
251.750455,1586,21489.331994
259.77491,1523,21490.539435
261.243609,1457,21492.926711
252.724495,1577,21495.528859
252.211982,1566,21498.181585
264.086502,1434,21499.393327
106.897349,1221,21501.613451
23.887551,974,21502.433558
-68.176423,523,21504.088118
213.249562,1600,21505.364017
253.876906,1575,21507.99151
258.632617,1491,21510.340016
-50.403155,403,21510.674789
255.826875,1551,21513.188146
260.440511,1490,21515.626153
140.001482,1498,21516.930862
259.711775,1482,21519.520097
250.104487,1600,21522.077017
-71.057074,282,21522.291232
259.502327,1526,21524.735195
79.724966,1190,21525.727755
257.40852,1510,21528.305799
258.653603,1516,21530.994854
262.832635,1465,21532.254174
258.979758,1457,21535.376422
257.252859,1545,21538.14851
260.119212,1446,21540.693715
259.639401,1507,21541.950045
253.707578,1558,21544.501998
261.414937,1460,21547.059213
34.4271,933,21547.749945
263.679313,1432,21550.273915
269.946358,1390,21552.668771
136.482729,1386,21553.768713
253.181841,1558,21556.30883
259.507254,1492,21558.730586
-4.533105,628,21559.263781
260.225909,1482,21561.930739
255.341205,1528,21564.39958
260.764833,1477,21565.619549
257.117874,1555,21568.140113
267.909402,1415,21570.565573
-64.546625,332,21570.835584
-2.597447,803,21571.481205
235.640225,1600,21574.087678
-52.334687,339,21574.361494
267.853858,1431,21576.850203
262.127597,1485,21579.338502
260.82352,1499,21580.705816
49.282959,862,21582.665007
263.684812,1482,21585.20733
266.282133,1455,21586.985181
3.073905,1600,21589.904591
258.162821,1542,21592.620533
-79.202494,288,21592.986356
251.044098,1600,21595.568942
-74.024937,339,21595.834244
259.678907,1464,21598.301961
265.998087,1486,21599.566789
266.796867,1477,21602.205073
113.098985,1348,21604.605323
257.966597,1532,21605.86926
246.11332,1600,21608.428698
20.879841,902,21610.37296
259.569551,1553,21611.695305
263.086931,1488,21614.146921
132.490015,1264,21616.442497
253.782962,1574,21618.974184
267.211044,1440,21620.127331
268.339972,1430,21622.639296
-63.611198,392,21622.984391
266.463609,1484,21625.41782
139.107733,1414,21627.80305
257.656859,1599,21629.143271
251.935177,1600,21631.782425
258.427196,1581,21634.4919
264.277522,1497,21636.981736
35.83966,1005,21637.775344
263.645057,1501,21640.28631
267.078004,1445,21642.833466
252.798429,1600,21644.203372
260.789109,1564,21646.839758
-74.148406,215,21647.044731
-40.771806,472,21647.418352
251.309482,1600,21650.022644
263.407953,1494,21652.43403
255.219426,1581,21655.175222
268.970227,1448,21656.347152
256.405372,1554,21658.762001
257.553672,1523,21661.22704
82.330066,1103,21662.189389
15.424132,741,21664.226168
-81.906592,356,21664.529213
256.781544,1549,21667.088676
259.574589,1536,21668.58262
231.347239,1600,21671.289746
239.107306,1600,21674.132183
263.595219,1479,21677.065679
262.999935,1478,21678.394694
267.752878,1436,21680.921103
-29.132107,512,21681.369373
265.145394,1461,21683.868711
270.875461,1408,21686.526433
48.821845,922,21687.318242
234.686385,1600,21689.80104
-34.736066,548,21690.266922
261.129149,1500,21692.776844
272.522985,1390,21695.295594
70.443731,1066,21696.230863
90.389069,1054,21699.113779
272.329167,1340,21700.668626
241.334498,1600,21703.444296
90.937368,1213,21705.987839
262.236433,1456,21709.745837
82.482091,1210,21711.231027
224.737454,1600,21714.760161
271.00797,1399,21718.200728
269.613021,1393,21719.721076
265.423794,1478,21722.96127
264.508089,1474,21726.165456
257.888675,1532,21727.785662
31.738942,870,21730.297438
255.908569,1600,21733.627419
256.269564,1591,21735.294892
257.164031,1549,21738.683647
-20.266857,640,21740.894674
248.785602,1600,21742.629289
261.535842,1496,21745.746684
258.88551,1515,21749.101533
252.968881,1586,21752.446056
261.533058,1502,21754.148656
264.276347,1469,21757.488429
240.820888,1600,21760.792933
266.837576,1442,21762.347426
258.846172,1513,21765.7079
239.63274,1600,21768.587501
236.319034,1600,21771.245539
265.899618,1435,21772.412607
249.274713,1600,21775.133111
260.493937,1513,21777.6255
114.030319,1207,21779.989689
-64.272886,265,21780.196185
-64.979447,292,21780.431787
116.930596,1148,21781.366724
17.341011,731,21783.287129
265.973982,1420,21784.501448
262.800115,1451,21787.036235
260.539021,1543,21789.663459
266.67383,1461,21792.12427
0.138716,592,21792.597219
5.041239,658,21793.228079
95.173711,1116,21795.41087
63.974107,936,21796.193954
127.259417,1258,21798.633726
263.261875,1492,21801.208188
-84.410958,148,21801.327606
32.191627,772,21801.988997
269.452135,1410,21804.413142
268.133723,1424,21805.581675
265.776176,1451,21808.032935
259.481497,1514,21810.655214
-90.527374,159,21810.785966
-35.52183,512,21811.258224
-2.029627,606,21811.813299
20.594054,756,21813.764385
24.915652,798,21814.442327
-3.128307,615,21816.211916
-95.043974,110,21816.298675
268.183833,1446,21817.527125
-23.405782,495,21819.19784
7.214389,685,21819.91233
-42.414757,395,21820.242413
-52.66194,317,21820.491066
-23.380401,573,21822.245719
-48.640791,364,21822.547921
-103.345289,166,21822.685977
-23.188483,433,21823.101109
-75.769136,231,21823.294496
10.921696,695,21823.869994
256.169524,1504,21826.413047
-97.547743,167,21826.544336
-34.041307,446,21826.918177
-77.71871,286,21828.428324
-87.261107,161,21828.574608
260.584127,1529,21829.876605
8.437341,830,21832.191787
-52.55835,320,21832.527265
-13.011591,523,21833.111374
-49.254535,339,21833.400972
-90.66065,176,21834.786507
109.17912,1360,21835.884801
49.145778,1021,21838.02306
64.4258,901,21838.749546
-106.824513,128,21838.851101
-51.265184,378,21839.172922
-26.006711,440,21840.820041
99.210134,1266,21841.851033
-57.412997,446,21842.253349
7.397572,724,21844.132412
-89.337763,128,21844.227536
-11.142418,642,21844.708944
71.121738,1142,21846.896963
-67.421688,312,21847.184531
110.991791,1325,21848.252928
8.032852,762,21850.121853
-0.215091,607,21850.668846
-79.210712,264,21850.984228
255.877364,1557,21853.440342
252.661916,1583,21856.006423
41.980124,995,21856.809796
252.036116,1600,21859.583636
126.310121,1570,21862.227397
258.187016,1535,21864.732075
36.977292,865,21865.474834
-62.036294,302,21865.71517
-40.924094,438,21866.217658
256.898615,1541,21868.696366
25.606987,970,21870.755467
125.907164,1493,21872.191189
-96.249043,192,21872.340003
256.969978,1562,21874.895574
-54.401842,305,21875.179089
-87.872133,142,21875.288697
245.390667,1600,21877.756131
-35.119671,446,21878.120929
-54.363188,436,21879.674943
77.522108,1134,21880.603292
-86.259763,126,21880.70424
248.792548,1594,21883.284729
249.2776,1600,21885.968757
-98.773262,157,21886.178047
61.998464,1136,21887.43396
-91.718174,131,21889.215708
-91.9419,175,21889.404953
-14.58761,617,21889.997986
254.888098,1561,21892.822027
260.774635,1482,21894.176325
-54.28643,407,21895.721519
15.528274,870,21896.452656
15.599533,754,21897.140698
109.735253,1517,21899.759748
-81.057411,333,21900.064929
261.745095,1513,21902.76084
16.497284,794,21903.480168
107.853364,1315,21905.888785
-39.623614,516,21906.367643
-49.080137,463,21908.012182
18.384738,855,21908.714332
92.814682,1236,21910.977606
36.440737,1071,21911.843046
205.217161,1600,21914.475654
-86.853306,193,21914.624346
254.005126,1567,21917.258317
-61.81033,391,21917.585795
249.179525,1600,21920.174813
-97.275679,127,21920.281102
264.536209,1434,21921.470573
-76.993034,240,21922.934152
110.341115,1552,21924.523373
260.264178,1480,21926.972917
238.433394,1600,21929.449575
204.936828,1600,21932.032224
228.225311,1600,21933.424378
240.506993,1600,21936.173554
69.904326,1319,21938.596786
255.729996,1561,21941.1931
243.50345,1600,21942.537199
255.407368,1533,21945.17377
-2.317489,682,21945.709046
231.947438,1600,21948.25539
255.514469,1539,21950.715946
17.034242,737,21951.337616
253.311595,1555,21953.8241
259.631202,1493,21956.559145
257.560682,1502,21959.026158
241.259096,1600,21960.38912
-24.57306,613,21962.160483
255.655861,1554,21963.455089
251.419139,1593,21966.222786
238.991788,1600,21969.006134
-19.533099,669,21969.567427
247.271216,1588,21972.26269
230.306277,1600,21974.852614
259.988204,1491,21977.467162
124.697989,1513,21978.698663
254.454783,1581,21981.254143
265.541969,1433,21983.606173
38.252296,1025,21984.474783
42.066407,941,21986.626655
243.776324,1600,21989.182685
260.646995,1474,21990.379915
-81.021248,319,21990.666708
255.074819,1501,21993.231345
257.17035,1473,21995.704826
232.947299,1600,21998.682946
239.713925,1600,22000.010647
257.661118,1508,22002.525754
254.87164,1560,22005.198226
251.687725,1573,22008.167782
23.303677,825,22008.955523
252.90681,1555,22011.626666
259.59241,1432,22014.582329
248.288115,1600,22016.499263
259.498369,1490,22019.840631
248.004921,1574,22023.324764
256.519417,1504,22026.723299
249.903647,1572,22028.580163
250.639385,1544,22031.904411
235.435352,1600,22035.33092
239.836785,1600,22039.440508
249.331814,1600,22040.595647
251.683423,1536,22050.847064
238.044447,1600,22058.009488
251.923851,1531,22060.899648
250.925968,1566,22062.146081
-55.875602,304,22063.649631
11.677117,737,22064.214299
244.343053,1600,22067.039156
122.867938,1571,22068.475765
103.371095,1452,22071.575843
246.19844,1588,22075.225765
249.558146,1575,22078.875206
-27.381677,516,22079.389759
250.673732,1600,22082.260332
249.447315,1600,22084.892218
233.542526,1600,22086.099809
246.98912,1600,22088.565893
250.627095,1564,22090.910435
255.684936,1517,22093.161417
231.943285,1600,22094.393588
7.568345,759,22096.087513
-28.64172,552,22096.518041
-33.263866,560,22096.919798
246.64912,1600,22099.299848
237.506582,1600,22101.610728
253.62828,1600,22103.96042
253.933391,1579,22105.196497
254.969845,1528,22107.475811
256.111244,1505,22109.789453
242.264386,1600,22112.157455
241.200368,1600,22113.361603
255.672566,1539,22115.623789
248.683306,1600,22117.979921
