#{"t_start": 1766708368.2664728, "env_id": "BipedalWalker-v3"}
r,l,t
-51.344093,1600,145.751962
-51.279681,1600,146.54302
-51.267147,1600,147.383679
-101.617189,60,147.416603
-47.929957,1600,148.80683
-48.016499,1600,149.507321
-48.006434,1600,150.233638
-48.008175,1600,151.052649
-48.006636,1600,151.779834
-62.063439,1600,153.894896
-62.036259,1600,154.546669
-62.008855,1600,155.211177
-62.050235,1600,155.863627
-63.84377,1600,156.602324
-58.43102,1600,158.648748
-63.556965,1600,159.315352
-44.509842,1600,160.078979
-46.346517,1600,160.851831
-64.569406,1600,161.566698
-63.789143,1600,162.94511
-57.86183,1600,163.660702
-57.387323,1600,164.364049
-57.726526,1600,165.039711
-54.065195,1600,165.719895
-61.784006,1600,167.895788
-38.705132,1600,168.629804
-39.127765,1600,169.401295
-61.558382,1600,170.072035
-39.308871,1600,170.792886
-39.093333,1600,172.211544
-39.339952,1600,173.071774
-39.097181,1600,173.844386
-61.638026,1600,174.521934
-61.711,1600,175.204613
-51.743637,1600,177.408694
-52.900314,1600,178.064462
-52.06815,1600,178.706823
-52.102898,1600,179.366433
-52.082501,1600,180.023561
-104.91679,65,180.062862
-38.642698,1600,182.215191
-38.773539,1600,182.985036
-48.378783,1600,183.651068
-38.364377,1600,184.42206
-38.760208,1600,185.1296
-162.987178,1223,185.827526
-43.607096,1600,186.524982
-48.181635,1600,187.264071
-49.83422,1600,187.973516
-38.457818,1600,188.661958
-38.761001,1600,189.399217
-156.497822,1122,190.722871
-42.062461,1600,191.56183
-41.771892,1600,192.413375
-41.796711,1600,193.178897
-41.540056,1600,193.8707
-41.821085,1600,194.682628
-122.099179,595,195.027209
-55.506676,1600,196.076189
-41.618663,1600,196.84034
-41.784825,1600,197.678927
-52.330417,1600,198.332616
-56.375309,1600,199.008474
-62.476632,1600,201.07154
-61.882495,1600,201.738093
-49.869044,1600,202.541808
-52.947009,1600,203.206339
-62.17486,1600,203.883875
-130.947263,748,204.30104
-64.088999,1600,206.007631
-63.806738,1600,206.665755
-63.687127,1600,207.44063
-40.208145,1600,208.239006
-63.934988,1600,208.940028
-128.748368,717,209.341498
-63.898515,1600,210.346175
-63.775963,1600,210.994553
-64.030341,1600,211.652308
-64.118634,1600,212.372514
-64.005197,1600,213.037347
-108.212852,54,213.066874
-137.961514,851,214.23693
-59.1865,1600,215.096296
-41.494932,1600,215.857633
-35.824278,1600,216.653136
-59.227278,1600,217.314341
-59.257507,1600,218.02709
-109.026897,65,218.065792
-108.696782,62,218.097461
-142.716733,949,218.64561
-58.995651,1600,219.420146
-58.671025,1600,220.096615
-35.803852,1600,220.866921
-59.018737,1600,221.528027
-58.928814,1600,222.19641
-61.453722,1600,224.344178
-61.381278,1600,225.004351
-61.441897,1600,225.715837
-62.457908,1600,226.389411
-61.058771,1600,227.062664
-154.535887,1108,228.453933
-61.635531,1600,229.224488
-62.305106,1600,229.913276
-61.887013,1600,230.548848
-62.525084,1600,231.216585
-62.635888,1600,231.892956
-162.959617,1232,232.565593
-62.521946,1600,233.296643
-62.693698,1600,233.963209
-62.447135,1600,234.661557
-62.17091,1600,235.332995
-62.353209,1600,236.069037
-63.257223,1600,238.316365
-62.375522,1600,239.003289
-63.328541,1600,239.66306
-62.709249,1600,240.342455
-63.318888,1600,241.018119
-125.388506,686,241.398634
-47.951975,1600,243.198936
-52.023007,1600,243.91646
-46.419793,1600,244.673775
-59.303569,1600,245.344308
-46.424442,1600,246.084225
-147.090634,985,246.654998
-46.434826,1600,247.531857
-59.00338,1600,248.233134
-59.014516,1600,248.884057
-59.394087,1600,249.599081
-59.483108,1600,250.256349
-64.923259,1600,252.333112
-63.873708,1600,252.993546
-63.829338,1600,253.683703
-63.753414,1600,254.36839
-63.840051,1600,255.051672
-131.136652,739,255.472614
-63.828002,1600,256.507557
-64.919838,1600,257.18848
-63.878745,1600,257.847972
-63.747957,1600,258.560154
-64.126751,1600,259.237454
-106.39414,51,259.270529
-143.510949,943,260.51226
-65.608153,1600,261.291723
-58.769548,1600,262.011507
-59.622306,1600,262.697501
-65.595242,1600,263.350092
-65.341382,1600,264.096087
-63.079742,1600,266.14691
-63.880497,1600,266.882983
-63.080466,1600,267.57764
-63.07082,1600,268.250695
-68.283269,1600,268.950485
-63.22531,1600,270.327948
-63.077105,1600,270.97165
-67.842241,1600,271.662898
-63.881431,1600,272.310796
-62.793682,1600,272.955449
-107.943138,110,273.018378
-62.572495,1600,275.031714
-61.847491,1600,275.693151
-68.923483,1600,276.411127
-50.982402,1600,277.149545
-62.362587,1600,277.817365
-69.502886,1600,279.217396
-50.96092,1600,279.913571
-62.012142,1600,280.587004
-50.44349,1600,281.362591
-62.202349,1600,281.995032
-136.971109,830,283.184811
-63.916495,1600,284.113844
-63.418095,1600,284.791831
-63.665134,1600,285.446857
-63.910847,1600,286.09752
-56.764476,1600,286.774623
-56.027655,1600,288.828787
-56.130246,1600,289.572415
-56.325367,1600,290.241404
-56.551079,1600,290.906558
-44.094435,1600,291.701613
-111.688362,85,291.75157
-56.880955,1600,293.053676
-56.678755,1600,293.734927
-56.405793,1600,294.473427
-56.261708,1600,295.145031
-56.190883,1600,295.833568
-127.684692,711,297.025906
-51.298886,1600,298.03158
-51.281257,1600,298.678895
-51.206688,1600,299.342964
-51.84077,1600,300.040557
-51.817629,1600,300.688129
-157.550239,1162,301.331808
-41.991223,1600,302.031273
-51.348962,1600,302.728699
-51.329249,1600,303.381306
-51.196082,1600,304.032535
-51.987669,1600,304.769211
-52.58819,1600,306.844676
-43.037265,1600,307.494761
-45.352003,1600,308.200487
-52.637433,1600,308.906743
-45.278908,1600,309.665414
-48.254217,1600,311.996789
-47.266891,1600,312.662179
-47.230334,1600,313.347174
-47.849058,1600,313.97281
-47.949012,1600,314.633484
-47.944049,1600,316.032039
-47.308734,1600,316.75605
-47.323254,1600,317.419802
-47.232386,1600,318.08562
-48.098503,1600,318.832799
-133.507017,790,319.99456
-39.204335,1600,321.084139
-43.710712,1600,321.764924
-38.680759,1600,322.537778
-42.835273,1600,323.194777
-40.189476,1600,323.858951
-43.955533,1600,325.298314
-42.136329,1600,325.984519
-40.900492,1600,326.664039
-42.276365,1600,327.362565
-43.674796,1600,328.013668
-39.051864,1600,330.181165
-38.645696,1600,331.035536
-40.091705,1600,331.793734
-39.356643,1600,332.546766
-39.324325,1600,333.336705
-109.983603,64,333.373279
-42.313314,1600,335.505831
-42.069969,1600,336.219331
-42.179739,1600,336.889438
-44.203719,1600,337.583455
-44.225742,1600,338.273981
-42.308368,1600,339.708195
-42.079092,1600,340.372441
-42.258649,1600,341.106394
-42.082847,1600,341.810545
-42.300688,1600,342.504331
-136.979308,859,343.672306
-44.37514,1600,344.572761
-48.108676,1600,345.258512
-43.501436,1600,345.971973
-45.232804,1600,346.66118
-43.482935,1600,347.354868
-144.847624,988,347.903949
-41.749471,1600,349.478631
-43.961497,1600,350.140804
-41.784391,1600,350.889757
-43.830688,1600,351.566529
-42.400708,1600,352.232361
-41.797332,1600,353.651921
-43.805368,1600,354.30228
-41.762399,1600,354.989939
-41.739242,1600,355.657346
-41.765234,1600,356.411046
-49.351745,1600,358.65131
-49.329087,1600,359.365129
-42.039287,1600,360.077885
-44.237949,1600,360.735642
-42.053453,1600,361.469313
-132.792516,823,361.937562
-44.133812,1600,362.863221
-41.855541,1600,363.556875
-48.866344,1600,364.268782
-44.320629,1600,364.934802
-44.4309,1600,365.588805
-39.375865,1600,367.721369
-42.167476,1600,368.411039
-44.195177,1600,369.163563
-42.129066,1600,369.815387
-39.348586,1600,370.521679
-33.319711,1600,372.664284
-33.053467,1600,373.320948
-33.465166,1600,374.030743
-34.91589,1600,375.247161
-34.878937,1600,376.1512
-137.11831,886,376.973554
-34.239882,1600,378.276663
-35.026515,1600,379.226956
